City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
288,Gravdal,NO,68.12,13.5,38.01,72,100,8.93,overcast clouds
289,Tautira,PF,-17.73,-149.15,82.4,69,75,2.24,broken clouds
290,Constitucion,CL,-35.33,-72.42,49.12,81,0,8.48,clear sky
291,Wencheng,CN,33.06,113.8,66.83,34,0,4.72,clear sky
292,College,US,64.86,-147.8,26.6,79,75,4.7,broken clouds
293,Saint-Pierre,RE,-21.34,55.48,75.2,57,44,4.7,scattered clouds
294,Tezu,IN,27.92,96.17,83.5,44,0,2.24,clear sky
295,Praia Da Vitoria,PT,38.73,-27.07,62.6,67,75,15.12,broken clouds
296,Hithadhoo,MV,-0.6,73.08,82.63,75,29,12.97,scattered clouds
297,Oyon,PE,-10.67,-76.77,49.51,63,57,5.84,light rain
298,Mizan Teferi,ET,6.98,35.58,60.91,87,20,2.66,few clouds
299,Buala,SB,-8.14,159.59,80.29,79,100,8.14,light rain
300,Parral,MX,26.93,-105.67,67.91,37,24,5.77,few clouds
301,Komsomolskoye,RU,55.26,47.55,29.68,94,0,8.66,clear sky
302,Payo,ID,-3.75,103.64,74.95,92,100,2.77,light rain
303,Northam,GB,51.03,-4.22,53.01,97,90,7.0,light rain
304,Danville,US,36.59,-79.39,64.99,93,1,2.86,clear sky
305,Granada,ES,37.25,-3.25,62.01,61,83,1.01,broken clouds
306,Nosy Varika,MG,-20.58,48.53,71.04,77,34,1.12,scattered clouds
307,Chowchilla,US,37.12,-120.26,72.0,59,1,5.46,clear sky
308,Mount Gambier,AU,-37.83,140.77,62.6,63,40,6.93,scattered clouds
309,Portland,US,45.52,-122.68,50.0,77,25,7.56,scattered clouds
310,Hofn,IS,64.25,-15.21,36.0,81,68,7.72,broken clouds
311,Kinablangan,PH,7.69,126.55,84.45,73,100,3.56,overcast clouds
312,Kryve Ozero,UA,47.95,30.35,47.89,70,100,2.66,overcast clouds
313,Wenling,CN,28.37,121.36,68.0,73,100,13.67,light rain
314,Acari,PE,-15.43,-74.62,64.17,59,32,2.62,scattered clouds
315,Turan,VN,16.07,108.22,77.0,69,75,2.24,broken clouds
316,Biak,ID,-0.91,122.88,84.0,63,88,2.75,overcast clouds
317,Sahuaripa,MX,29.05,-109.23,74.8,32,0,5.99,clear sky
318,Pevek,RU,69.7,170.31,29.52,97,12,6.71,few clouds
319,Aswan,EG,24.09,32.91,75.72,23,0,8.63,clear sky
320,Opuwo,NA,-18.06,13.84,57.22,63,0,5.17,clear sky
321,Omsukchan,RU,62.53,155.8,20.07,93,0,6.91,clear sky
322,Airai,TL,-8.93,125.41,81.43,42,14,1.48,few clouds
323,Alihe,CN,50.57,123.72,32.81,77,0,12.39,clear sky
324,Abu Samrah,SY,35.3,37.18,62.53,87,0,7.43,clear sky
325,Beyneu,KZ,45.32,55.2,42.49,65,100,8.5,overcast clouds
326,Talara,PE,-4.58,-81.27,65.34,86,6,13.38,clear sky
327,Sinnamary,GF,5.38,-52.95,79.86,83,17,9.57,few clouds
328,Ucluelet,CA,48.93,-125.55,44.01,85,15,5.3,few clouds
329,Micheweni,TZ,-4.97,39.83,77.54,85,14,7.78,few clouds
330,Bolama,GW,11.58,-15.47,80.87,85,96,6.24,overcast clouds
331,Upernavik,GL,72.79,-56.15,23.16,95,70,3.09,broken clouds
332,Severomuysk,RU,56.15,113.43,16.92,93,78,3.47,broken clouds
333,Ambon,ID,-3.7,128.18,89.6,66,40,6.93,scattered clouds
334,Mayo,US,38.89,-76.51,66.2,100,1,8.5,clear sky
335,Camacha,PT,33.08,-16.33,64.4,63,20,14.99,few clouds
336,Terrace,CA,54.52,-128.6,33.8,100,20,3.36,few clouds
337,Sao Paulo De Olivenca,BR,-3.38,-68.87,73.83,96,93,0.83,heavy intensity rain
338,Carbonia,IT,39.17,8.52,68.0,88,40,8.05,scattered clouds
339,Port-Cartier,CA,50.03,-66.87,37.4,93,90,14.99,mist
340,Ilhabela,BR,-23.78,-45.36,70.83,85,7,4.54,light rain
341,Pacific Grove,US,36.62,-121.92,57.99,87,1,3.11,clear sky
342,Vaitape,PF,-16.52,-151.75,80.22,73,33,10.47,scattered clouds
343,Dawei,MM,14.08,98.2,84.22,66,96,4.47,overcast clouds
344,Baruun-Urt,MN,46.68,113.28,31.87,77,0,11.54,clear sky
345,Port Macquarie,AU,-31.43,152.92,80.01,50,87,1.99,overcast clouds
346,Sao Miguel Do Araguaia,BR,-13.28,-50.16,73.63,81,100,6.8,overcast clouds
347,Henderson,US,36.04,-114.98,80.6,17,1,6.93,clear sky
348,Tacoronte,ES,28.48,-16.41,63.0,87,75,12.75,broken clouds
